,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
0,1,"River Street , Clerkenwell",51.52916347,-0.109970527,3.0,16,True,False,False,10:30
1,2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,31.0,6,True,False,False,10:30
2,3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,,0,True,False,False,10:30
3,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,,16,True,False,False,10:30
4,5,"Sedding Street, Sloane Square",51.49313,-0.156876,25.0,0,True,False,False,10:30
5,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,15.0,1,True,False,False,10:30
6,7,"Charlbert Street, St. John's Wood",51.53430039,-0.16807429999999998,0.0,14,True,False,False,10:30
7,8,"Lodge Road, St. John's Wood",51.52834133,-0.17013448399999997,7.0,9,True,False,False,10:30
8,9,"New Globe Walk, Bankside",51.507385299999996,-0.09644075099999999,19.0,0,True,False,False,10:30
9,10,"Park Street, Bankside",51.50597426,-0.09275415699999999,,0,True,False,False,10:30
10,11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,0.0,22,True,False,False,10:30
11,12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,,27,True,False,False,10:30
12,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21.0,0,True,False,False,10:30
13,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,7.0,10,True,False,False,10:30
14,15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,22.0,4,True,False,False,10:30
15,17,"Hatton Wall, Holborn",51.521661200000004,-0.109006325,18.0,7,True,False,False,10:30
16,16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,1.0,20,True,False,False,10:30
17,19,"Taviton Street, Bloomsbury",51.52505093,-0.13116108699999998,6.0,22,True,False,False,10:30
18,18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,23.0,3,True,False,False,10:30
19,21,"Hampstead Road (Cartmel), Euston",51.53007835,-0.13884627,0.0,16,True,False,False,10:30
20,20,"Drummond Street , Euston",51.52773634,-0.135273468,,24,True,False,False,10:30
21,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,6.0,9,True,False,False,10:30
22,22,"Northington Street , Holborn",51.5222641,-0.114079481,18.0,1,True,False,False,10:30
23,25,"Doric Way , Somers Town",51.5288338,-0.132250369,10.0,21,True,False,False,10:30
24,24,"British Museum, Bloomsbury",51.51908011,-0.124678402,23.0,11,True,False,False,10:30
25,27,"Bouverie Street, Temple",51.51382102,-0.107927706,24.0,9,True,False,False,10:30
26,26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,0.0,21,True,False,False,10:30
27,29,"Hereford Road, Bayswater",51.513735,-0.193487,1.0,21,True,False,False,10:30
28,28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,12.0,7,True,False,False,10:30
29,31,"Fanshaw Street, Hoxton",51.52953709,-0.08335332299999999,0.0,31,True,False,False,10:30
30,30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,4.0,19,True,False,False,10:30
31,34,"Pancras Road, King's Cross",51.5341235,-0.129386874,0.0,15,True,False,False,10:30
32,32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,41.0,0,True,False,False,10:30
33,33,"Altab Ali Park, Whitechapel",51.51681603,-0.067827542,2.0,13,True,False,False,10:30
34,38,"Abingdon Villas, Kensington",51.4973875,-0.19724558600000003,9.0,8,True,False,False,10:30
35,39,"Shoreditch High Street, Shoreditch",51.5263778,-0.07813092099999999,0.0,38,True,False,False,10:30
36,36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,13.0,15,True,False,False,10:30
37,37,"Penywern Road, Earl's Court",51.49159394,-0.19236925600000002,6.0,10,True,False,False,10:30
38,42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,1.0,27,True,False,False,10:30
39,43,"Crawford Street, Marylebone",51.52026,-0.157183945,5.0,12,True,False,False,10:30
40,40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,2.0,13,True,False,False,10:30
41,41,"Sun Street, Liverpool Street",51.52001715,-0.08391116800000001,24.0,1,True,False,False,10:30
42,46,"Nesham Street, Wapping",51.507131,-0.06691,11.0,5,True,False,False,10:30
43,47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.18384640800000002,0.0,18,True,False,False,10:30
44,44,"Bruton Street, Mayfair",51.51073687,-0.144165239,5.0,6,True,False,False,10:30
45,45,"Harewood Avenue, Marylebone",51.52231968,-0.16384911800000002,18.0,0,True,False,False,10:30
46,51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,24.0,2,True,False,False,10:30
47,50,"East Road, Hoxton",51.52867339,-0.08745937599999999,3.0,23,True,False,False,10:30
48,49,"Curzon Street, Mayfair",51.50706909,-0.145904427,16.0,0,True,False,False,10:30
49,48,"Godliman Street, St. Paul's",51.51248445,-0.09914140800000001,16.0,9,True,False,False,10:30
50,55,"Finsbury Circus, Liverpool Street",51.51707521,-0.08668554199999999,23.0,9,True,False,False,10:30
51,54,"Golden Lane, Barbican",51.52174785,-0.094475072,26.0,0,True,False,False,10:30
52,53,"Grafton Street, Mayfair",51.50999229999999,-0.14349526599999998,17.0,1,True,False,False,10:30
53,52,"Roscoe Street, St. Luke's",51.52295439,-0.09493485900000001,16.0,0,True,False,False,10:30
54,59,"Rodney Street, Angel",51.53176825,-0.114329032,0.0,28,True,False,False,10:30
55,58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,15.0,2,True,False,False,10:30
56,57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,16.0,21,True,False,False,10:30
57,56,"Paddington Street, Marylebone",51.52058381,-0.15470141099999998,3.0,13,True,False,False,10:30
58,63,"Murray Grove , Hoxton",51.53089041,-0.089782579,0.0,27,True,False,False,10:30
59,62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,0.0,23,True,False,False,10:30
60,61,"Great Dover Street, Borough",51.49738251,-0.089446947,12.0,21,True,False,False,10:30
61,60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,1.0,17,True,False,False,10:30
62,68,"Theobalds Road , Holborn",51.52059681,-0.116688468,23.0,3,True,False,False,10:30
