,vorname,anzahl,geschlecht,bezirke,name length
0,Charlotte,64,w,friedrichshain-kreuzberg,9
1,Marie,51,w,friedrichshain-kreuzberg,5
2,Sophie,50,w,friedrichshain-kreuzberg,6
3,Anton,42,m,friedrichshain-kreuzberg,5
4,Emma,42,w,friedrichshain-kreuzberg,4
5,Maria,42,w,friedrichshain-kreuzberg,5
6,Emil,41,m,friedrichshain-kreuzberg,4
7,Ali,40,m,friedrichshain-kreuzberg,3
8,Alexander,39,m,friedrichshain-kreuzberg,9
9,Anna,39,w,friedrichshain-kreuzberg,4
10,Leon,37,m,friedrichshain-kreuzberg,4
11,Mia,37,w,friedrichshain-kreuzberg,3
12,Elias,35,m,friedrichshain-kreuzberg,5
13,Karl,33,m,friedrichshain-kreuzberg,4
14,Paul,33,m,friedrichshain-kreuzberg,4
15,Oskar,31,m,friedrichshain-kreuzberg,5
16,Luise,30,w,friedrichshain-kreuzberg,5
17,Felix,30,m,friedrichshain-kreuzberg,5
18,Ella,29,w,friedrichshain-kreuzberg,4
19,Noah,29,m,friedrichshain-kreuzberg,4
20,Johanna,28,w,friedrichshain-kreuzberg,7
21,Henry,28,m,friedrichshain-kreuzberg,5
22,Jonas,27,m,friedrichshain-kreuzberg,5
23,Paula,26,w,friedrichshain-kreuzberg,5
24,Jonathan,26,m,friedrichshain-kreuzberg,8
25,Maximilian,26,m,friedrichshain-kreuzberg,10
26,Emilia,24,w,friedrichshain-kreuzberg,6
27,Mira,24,w,friedrichshain-kreuzberg,4
28,Jakob,24,m,friedrichshain-kreuzberg,5
29,Valentin,24,m,friedrichshain-kreuzberg,8
30,Elisabeth,23,w,friedrichshain-kreuzberg,9
31,Ida,23,w,friedrichshain-kreuzberg,3
32,Julius,23,m,friedrichshain-kreuzberg,6
33,Sophia,22,w,friedrichshain-kreuzberg,6
34,Moritz,22,m,friedrichshain-kreuzberg,6
35,Mila,21,w,friedrichshain-kreuzberg,4
36,Adam,21,m,friedrichshain-kreuzberg,4
37,Ben,21,m,friedrichshain-kreuzberg,3
38,David,21,m,friedrichshain-kreuzberg,5
39,Friedrich,21,m,friedrichshain-kreuzberg,9
40,Louis,21,m,friedrichshain-kreuzberg,5
41,Lukas,21,m,friedrichshain-kreuzberg,5
42,Clara,20,w,friedrichshain-kreuzberg,5
43,Hannah,20,w,friedrichshain-kreuzberg,6
44,Julia,19,w,friedrichshain-kreuzberg,5
45,Lina,19,w,friedrichshain-kreuzberg,4
46,Marlene,19,w,friedrichshain-kreuzberg,7
47,Olivia,19,w,friedrichshain-kreuzberg,6
48,Liam,19,m,friedrichshain-kreuzberg,4
49,Luca,19,m,friedrichshain-kreuzberg,4
50,Alma,18,w,friedrichshain-kreuzberg,4
51,Anh,18,w,friedrichshain-kreuzberg,3
52,Carl,18,m,friedrichshain-kreuzberg,4
53,Levi,18,m,friedrichshain-kreuzberg,4
54,Michael,18,m,friedrichshain-kreuzberg,7
55,Carlotta,17,w,friedrichshain-kreuzberg,8
56,Helene,17,w,friedrichshain-kreuzberg,6
